day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
16,341,42.06,14.11,-9.47,-15.8,-245.01,-40.12,377.49,-35.12,-0.25,-27.03,-130.64,-6.61,1.67,-47.04,0.0,-92.36
17,341,42.16,11.96,-9.57,-15.38,-245.18,-39.99,377.43,-35.31,-0.19,-26.7,-130.72,-6.62,1.71,-47.33,0.0,-92.26
18,341,42.67,11.84,-9.24,-16.07,-245.34,-39.35,378.74,-35.39,-0.2,-26.49,-130.19,-6.67,1.66,-48.06,0.0,-94.05
19,341,41.21,13.09,-9.9,-17.35,-247.53,-37.38,383.28,-35.47,-0.16,-25.76,-130.92,-6.82,2.06,-50.47,0.0,-98.37
20,341,40.15,11.0,-10.27,-18.79,-251.27,-37.43,391.85,-36.7,-0.06,-25.2,-132.35,-7.11,2.53,-52.37,0.0,-103.15
21,341,39.22,9.5,-10.77,-19.05,-257.27,-36.16,404.08,-37.41,-0.02,-25.36,-134.09,-7.82,2.88,-55.44,0.0,-110.64
22,341,37.08,9.44,-11.73,-19.93,-266.35,-34.23,422.25,-38.83,0.15,-25.11,-137.06,-8.49,3.62,-60.63,0.0,-121.66
23,341,37.24,11.02,-11.57,-19.35,-271.45,-32.91,431.14,-39.23,0.26,-24.81,-138.77,-9.37,4.04,-63.56,0.0,-126.78
24,341,36.7,10.8,-11.59,-20.02,-274.41,-34.06,438.4,-39.73,0.37,-24.37,-140.35,-9.92,4.1,-64.5,0.0,-129.93
25,341,36.63,10.43,-11.72,-20.19,-276.45,-34.18,442.48,-40.04,0.42,-24.53,-140.52,-10.65,4.6,-65.72,0.0,-131.85
26,341,36.57,10.89,-11.74,-20.0,-279.01,-35.06,447.52,-40.18,0.55,-24.52,-141.55,-11.39,4.8,-66.72,0.0,-133.45
27,340,36.05,10.22,-12.0,-20.15,-280.64,-32.46,445.9,-40.31,0.67,-24.18,-142.35,-11.97,5.09,-67.59,0.0,-132.81
28,340,36.06,8.24,-11.91,-19.49,-281.96,-32.81,449.06,-40.52,0.77,-23.89,-143.14,-12.37,5.17,-67.99,0.0,-134.3
29,339,35.05,9.8,-12.54,-19.01,-284.03,-33.22,452.13,-41.24,0.77,-23.97,-144.83,-12.7,5.39,-67.44,0.0,-134.87
30,339,35.3,8.0,-12.43,-19.36,-285.25,-32.78,453.32,-41.66,0.86,-23.64,-145.09,-13.24,5.56,-68.05,0.0,-135.28
31,338,34.87,7.38,-12.33,-20.41,-287.4,-32.45,456.28,-41.95,0.91,-23.77,-146.11,-13.45,5.74,-68.78,0.0,-136.44
32,338,34.6,7.56,-12.57,-20.92,-289.99,-32.29,460.24,-42.08,0.92,-24.04,-146.74,-13.78,5.61,-69.89,0.0,-137.96
33,337,33.26,8.17,-12.68,-20.43,-295.64,-33.0,459.52,-42.08,0.75,-26.24,-148.35,-14.25,3.1,-68.58,0.0,-130.88
34,336,31.88,8.32,-13.54,-21.11,-295.62,-32.94,458.83,-42.08,0.74,-25.95,-148.8,-14.55,3.36,-68.35,0.0,-130.27
35,335,30.98,8.5,-13.85,-20.38,-296.72,-32.68,459.54,-42.62,0.75,-26.03,-149.15,-14.63,3.49,-68.54,0.0,-130.14
36,335,31.78,9.0,-13.11,-20.75,-297.63,-31.88,460.7,-42.91,0.76,-25.96,-149.58,-14.81,3.71,-68.84,0.0,-131.18
37,334,31.61,8.55,-13.38,-21.19,-298.4,-32.84,463.17,-43.08,0.8,-25.83,-150.12,-14.88,3.9,-69.2,0.0,-131.93
38,333,31.54,9.12,-13.3,-21.87,-299.28,-33.81,466.49,-43.17,0.81,-25.74,-150.39,-15.06,4.13,-69.86,0.0,-133.4
39,332,31.67,8.9,-13.14,-21.28,-299.02,-33.44,465.67,-43.34,0.81,-25.0,-150.77,-15.16,4.17,-69.74,0.0,-133.21
40,331,32.22,8.5,-12.83,-20.81,-299.74,-28.12,462.54,-43.77,0.88,-24.91,-150.78,-15.24,4.47,-70.38,0.0,-134.68
41,331,32.45,8.75,-12.85,-21.41,-300.0,-25.38,462.69,-43.94,0.86,-24.52,-151.16,-15.3,4.73,-70.66,0.0,-137.31
