코드,종목명,상장일,수정공모가,상장일종가,6M종가,12M종가,18M종가,24M종가,상장일수익률_수정공모가(%),6M수익률_수정공모가(%),12M수익률_수정공모가(%),18M수익률_수정공모가(%),24M수익률_수정공모가(%),6M수익률_종가(%),12M수익률_종가(%),18M수익률_종가(%),24M수익률_종가(%),최종일,최종일종가,최종일수익률_수정공모가(%),최종일수익률_종가(%),기관_6M순매수,기관_12M순매수,기관_18M순매수,기관_24M순매수,외국인총합계_6M순매수,외국인총합계_12M순매수,외국인총합계_18M순매수,외국인총합계_24M순매수,개인_6M순매수,개인_12M순매수,개인_18M순매수,개인_24M순매수,금융투자_6M순매수,금융투자_12M순매수,금융투자_18M순매수,금융투자_24M순매수,보험_6M순매수,보험_12M순매수,보험_18M순매수,보험_24M순매수,투신_6M순매수,투신_12M순매수,투신_18M순매수,투신_24M순매수,사모펀드_6M순매수,사모펀드_12M순매수,사모펀드_18M순매수,사모펀드_24M순매수,은행_6M순매수,은행_12M순매수,은행_18M순매수,은행_24M순매수,연기금_6M순매수,연기금_12M순매수,연기금_18M순매수,연기금_24M순매수,기타금융기관_6M순매수,기타금융기관_12M순매수,기타금융기관_18M순매수,기타금융기관_24M순매수,"국가,지자체_6M순매수","국가,지자체_12M순매수","국가,지자체_18M순매수","국가,지자체_24M순매수",기타법인_6M순매수,기타법인_12M순매수,기타법인_18M순매수,기타법인_24M순매수
A376190,LB루셈,2021-06-11,14000.0,15200.0,11250.0,8950.0,6960.0,,8.6,-19.6,-36.1,-50.3,,-26.0,-41.1,-54.2,,2023-06-09,8200.0,-41.4,-46.1,-566.1,-584.8,-587.1,,-48.0,-67.4,-67.1,,642.3,681.4,684.2,,-89.3,-94.2,-93.9,,-0.6,-0.9,-0.9,,-86.3,-93.6,-95.7,,-382.0,-388.2,-388.6,,-0.4,-0.4,-0.4,,-0.7,-0.8,-0.8,,-6.9,-6.9,-6.9,,0.0,0.0,0.0,,-28.1,-29.3,-29.9,
A303530,이노뎁,2021-06-18,18000.0,18050.0,25750.0,14100.0,13350.0,,0.3,43.1,-21.7,-25.8,,42.7,-21.9,-26.0,,2023-06-16,13860.0,-23.0,-23.2,-250.7,-247.9,-226.0,,-26.0,-31.5,-34.0,,512.5,516.2,498.4,,-64.7,-66.1,-38.4,,-0.2,0.2,0.2,,-9.9,-9.3,-11.8,,-81.1,-78.3,-81.5,,-23.3,-23.1,-23.1,,-0.1,0.2,0.2,,-71.6,-71.6,-71.6,,0.0,0.0,0.0,,-235.8,-236.8,-238.4,
A357580,아모센스,2021-06-25,12400.0,15900.0,22200.0,13450.0,12150.0,,28.2,79.0,8.5,-2.0,,39.6,-15.4,-23.6,,2023-06-23,16140.0,30.2,1.5,-275.7,-276.0,-274.6,,-86.4,-85.8,-92.8,,496.6,488.6,498.7,,-54.3,-54.9,-55.6,,-3.0,-3.0,-1.9,,-79.3,-76.2,-71.7,,-102.5,-105.4,-109.0,,-1.1,-1.1,-1.1,,-4.5,-4.5,-4.5,,-31.0,-31.0,-31.0,,0.0,0.0,0.0,,-134.5,-126.7,-131.3,
A352910,오비고,2021-07-13,14300.0,20700.0,19550.0,10600.0,10850.0,10730.0,44.8,36.7,-25.9,-24.1,-25.0,-5.6,-48.8,-47.6,-48.2,2023-07-13,10730.0,-25.0,-48.2,-570.4,-557.7,-618.5,-625.0,-35.3,-40.9,-42.5,-55.8,768.1,756.4,816.0,850.9,-51.5,-50.9,-73.3,-73.8,1.5,13.1,2.3,3.4,-34.6,-26.2,-41.5,-42.0,-314.8,-315.3,-332.8,-337.6,-0.8,-0.8,-0.8,-0.8,7.5,0.1,5.4,4.0,-177.7,-177.7,-177.7,-178.3,0.0,0.0,0.0,0.0,-162.4,-157.8,-155.1,-170.1
A365270,큐라클,2021-07-22,21919.0,26873.0,16001.0,16045.0,9986.0,,22.6,-27.0,-26.8,-54.4,,-40.5,-40.3,-62.8,,2023-07-21,13958.0,-36.3,-48.1,-1338.1,-1386.8,-1400.8,,-52.1,-75.3,-71.1,,1827.0,1906.2,1917.6,,-107.5,-134.0,-136.3,,-1.3,-1.3,-1.3,,-76.9,-88.8,-91.4,,-273.5,-268.3,-269.3,,-122.0,-122.0,-122.0,,25.9,10.4,10.4,,-782.8,-782.8,-790.9,,0.0,0.0,0.0,,-436.7,-444.1,-445.7,
A377030,비트맥스,2021-07-27,27082.0,70413.0,76823.0,65723.0,55458.0,29132.0,160.0,183.7,142.7,104.8,7.6,9.1,-6.7,-21.2,-58.6,2023-07-27,29132.0,7.6,-58.6,-816.9,-1039.6,-1115.8,-1122.7,0.8,103.1,56.8,59.9,2117.5,2243.0,2424.6,2416.4,-459.2,-569.4,-628.3,-633.4,0.4,1.1,0.5,0.5,129.0,103.1,83.4,84.9,-278.9,-357.1,-353.7,-356.9,0.3,0.1,0.1,-0.1,-0.8,-9.7,-9.7,-9.7,-207.7,-207.9,-208.0,-208.0,0.0,0.0,0.0,0.0,-1301.4,-1306.5,-1365.5,-1353.6
A195940,HK이노엔,2021-08-09,59000.0,68500.0,41200.0,43950.0,40100.0,36250.0,16.1,-30.2,-25.5,-32.0,-38.6,-39.9,-35.8,-41.5,-47.1,2023-08-09,36250.0,-38.6,-47.1,-2195.2,-2095.0,-1681.2,-1495.0,-391.1,-396.3,13.8,-412.7,3468.8,4593.4,3924.2,4170.4,-170.5,36.3,35.2,-10.8,-1.1,63.9,85.3,97.1,-449.1,-452.6,-350.3,-331.8,-1709.1,-1958.9,-1907.4,-1875.1,-0.5,-0.2,1.3,0.8,149.4,222.7,457.6,624.7,-14.3,-6.2,-2.8,0.1,0.0,0.0,0.0,0.0,-882.4,-2102.0,-2256.9,-2262.7
A376980,원티드랩,2021-08-11,17500.0,45500.0,28950.0,23100.0,15620.0,10900.0,160.0,65.4,32.0,-10.7,-37.7,-36.4,-49.2,-65.7,-76.0,2023-08-11,10900.0,-37.7,-76.0,-336.9,-370.9,-463.6,-439.2,-46.6,-18.2,-23.1,-13.5,995.1,1001.5,1097.0,1059.9,-130.6,-133.8,-139.4,-81.5,41.3,72.6,57.2,44.4,203.4,264.7,241.0,234.8,-136.6,-152.6,-173.5,-186.9,-172.6,-172.5,-169.8,-170.2,131.2,112.7,81.8,81.1,-272.9,-361.9,-360.9,-360.9,0.0,0.0,0.0,0.0,-611.6,-612.4,-610.4,-607.2
A367000,플래티어,2021-08-12,11000.0,28600.0,15000.0,13550.0,17280.0,,160.0,36.4,23.2,57.1,,-47.6,-52.6,-39.6,,2023-08-11,10450.0,-5.0,-63.5,-321.0,-339.2,-333.3,,-38.8,-39.3,-45.2,,453.2,471.4,544.8,,-91.0,-93.4,-82.5,,-1.5,-1.5,-1.5,,-34.4,-43.4,-45.9,,-187.1,-193.8,-196.4,,-0.6,-0.6,-0.6,,-0.5,-0.5,-0.5,,-5.9,-6.0,-6.0,,0.0,0.0,0.0,,-93.4,-92.9,-166.3,
A315640,딥노이드,2021-08-17,9393.0,11271.0,5568.0,3837.0,4034.0,9325.0,20.0,-40.7,-59.2,-57.1,-0.7,-50.6,-66.0,-64.2,-17.3,2023-08-17,9325.0,-0.7,-17.3,-406.3,-409.9,-423.2,-395.4,-17.0,-6.9,-18.7,-45.3,729.6,724.7,753.7,753.3,-68.3,-70.1,-69.8,-61.2,0.4,0.4,0.4,4.6,0.0,-0.2,-6.9,21.9,-79.8,-81.4,-81.3,-73.4,-0.4,-0.4,-0.4,-1.4,18.1,18.1,11.1,16.4,-276.4,-276.4,-276.4,-302.3,0.0,0.0,0.0,0.0,-306.3,-307.9,-311.9,-312.5
A099390,브레인즈컴퍼니,2021-08-19,12598.0,32756.0,12246.0,8590.0,10590.0,,160.0,-2.8,-31.8,-15.9,,-62.6,-73.8,-67.7,,2023-08-18,7190.0,-42.9,-78.0,-396.4,-394.8,-396.5,,-3.6,-3.2,-3.6,,408.0,403.1,406.9,,-47.2,-34.1,-33.6,,-0.4,-0.4,-0.4,,-12.2,-16.7,-18.5,,-326.2,-333.1,-333.5,,-0.4,-0.4,-0.4,,-0.4,-0.4,-0.4,,-9.6,-9.6,-9.6,,0.0,0.0,0.0,,-8.0,-5.1,-6.8,
A308080,바이젠셀,2021-08-25,26405.0,29812.0,12476.0,9580.0,7080.0,5590.0,12.9,-52.8,-63.7,-73.2,-78.8,-58.2,-67.9,-76.3,-81.2,2023-08-25,5590.0,-78.8,-81.2,-916.7,-988.8,-1013.9,-1017.5,-28.2,-30.0,-33.9,-27.4,1585.4,1729.4,1758.5,1758.3,-174.0,-177.5,-179.6,-182.7,2.4,0.7,0.7,0.7,-40.4,-79.2,-84.9,-84.5,-539.3,-573.4,-577.7,-578.6,-3.1,-3.1,-3.1,-3.1,49.3,55.4,42.4,42.4,-211.4,-211.6,-211.6,-211.6,0.0,0.0,0.0,0.0,-640.6,-710.6,-710.8,-713.4
A273640,와이엠텍,2021-09-10,14019.0,29540.0,16047.0,21450.0,19980.0,,110.7,14.5,53.0,42.5,,-45.7,-27.4,-32.4,,2023-09-08,16600.0,18.4,-43.8,-500.1,-468.7,-497.5,,-21.1,-6.0,-3.5,,573.1,536.0,551.0,,-163.7,-158.2,-166.3,,-0.3,2.1,1.1,,-26.6,8.7,2.5,,-201.0,-218.1,-220.0,,-0.1,-0.1,-0.1,,-0.1,14.2,2.7,,-108.2,-117.4,-117.4,,0.0,0.0,0.0,,-51.9,-61.3,-49.9,
A099430,바이오플러스,2021-09-27,7883.0,8121.0,6882.0,7195.0,6790.0,7070.0,3.0,-12.7,-8.7,-13.9,-10.3,-15.3,-11.4,-16.4,-12.9,2023-09-27,7070.0,-10.3,-12.9,-196.6,-244.3,-206.5,-266.5,32.0,57.0,35.6,46.4,324.1,620.4,906.1,963.7,24.0,6.3,21.4,78.2,-0.9,4.8,3.7,10.1,-6.4,38.1,58.5,-46.3,-146.6,-208.1,-206.3,-214.6,-0.3,-2.5,-3.0,-3.0,0.3,7.4,3.0,3.7,-66.6,-90.3,-83.8,-94.6,0.0,0.0,0.0,0.0,-159.4,-433.0,-735.1,-743.6
A377220,프롬바이오,2021-09-28,9000.0,9925.0,4425.0,3130.0,3670.0,,10.3,-50.8,-65.2,-59.2,,-55.4,-68.5,-63.0,,2023-09-27,3620.0,-59.8,-63.5,-509.5,-523.0,-564.9,,-21.3,-22.7,-25.2,,602.7,626.5,669.2,,-16.6,-25.5,-26.1,,-4.7,-4.7,-4.7,,-51.5,-55.7,-56.1,,-253.5,-253.8,-257.2,,-0.1,-0.1,-0.1,,0.2,0.2,0.2,,-183.3,-183.3,-220.8,,0.0,0.0,0.0,,-71.9,-80.9,-79.1,
A257720,실리콘투,2021-09-29,4533.0,4833.0,2933.0,1915.0,3330.0,,6.6,-35.3,-57.8,-26.5,,-39.3,-60.4,-31.1,,2023-09-27,9350.0,106.3,93.5,-427.0,-459.9,-436.7,,-70.3,-44.5,-68.9,,628.7,866.9,921.2,,-67.9,-6.5,-5.0,,-1.3,-1.3,6.0,,-13.9,-26.7,-15.6,,-273.6,-306.2,-305.3,,-0.1,-0.1,-0.1,,-0.7,-0.7,1.4,,-69.5,-118.4,-118.1,,0.0,0.0,0.0,,-131.5,-362.5,-415.7,
A159010,아스플로,2021-10-07,8337.0,9454.0,6969.0,8740.0,13500.0,,13.4,-16.4,4.8,61.9,,-26.3,-7.6,42.8,,2023-10-06,10540.0,26.4,11.5,-215.5,-208.4,-107.3,,-11.3,-17.1,28.8,,335.9,330.6,173.8,,-14.1,-10.3,40.2,,-0.4,2.5,-0.8,,-14.8,-2.7,16.2,,-81.1,-103.1,-70.4,,-0.1,0.7,0.4,,-0.1,9.1,11.9,,-105.0,-104.5,-104.8,,0.0,0.0,0.0,,-109.1,-105.1,-95.3,
A382840,원준,2021-10-07,21685.0,29024.0,35763.0,20400.0,29500.0,,33.8,64.9,-5.9,36.0,,23.2,-29.7,1.6,,2023-10-06,16740.0,-22.8,-42.3,-640.2,-849.6,-1127.3,,-6.5,42.1,9.6,,907.4,1564.1,2066.4,,-41.3,-50.1,-21.0,,16.2,-7.7,-6.9,,-64.6,-91.5,-105.9,,-351.3,-421.1,-430.6,,-0.5,1.3,1.3,,47.3,28.3,25.7,,-246.0,-308.8,-589.9,,0.0,0.0,0.0,,-260.7,-756.7,-948.7,
A376290,씨유테크,2021-10-08,6000.0,8400.0,7360.0,4075.0,4445.0,,40.0,22.7,-32.1,-25.9,,-12.4,-51.5,-47.1,,2023-10-06,3380.0,-43.7,-59.8,-310.7,-315.6,-315.5,,-12.5,-10.8,-9.1,,351.4,355.5,353.9,,-69.1,-69.3,-69.1,,-3.0,-3.0,-3.0,,-56.5,-59.3,-59.4,,-166.8,-168.7,-168.8,,-0.8,-0.8,-0.8,,-0.9,-0.9,-0.9,,-13.6,-13.6,-13.6,,0.0,0.0,0.0,,-28.1,-29.1,-29.2,
A382480,지아이텍,2021-10-21,2800.0,7280.0,3645.0,4190.0,4765.0,,160.0,30.2,49.6,70.2,,-49.9,-42.4,-34.5,,2023-10-20,2915.0,4.1,-60.0,-323.7,-358.2,-359.3,,-54.2,-58.9,-56.2,,580.1,624.3,663.1,,-48.0,-52.2,-51.3,,-1.5,-1.5,-1.6,,-37.0,-44.6,-47.1,,-223.3,-245.7,-245.2,,-0.2,-0.2,-0.2,,-2.1,-2.1,-2.1,,-11.7,-11.8,-11.8,,0.0,0.0,0.0,,-202.3,-207.2,-247.6,
A261780,아리바이오랩,2021-10-22,11000.0,13000.0,7430.0,4915.0,5620.0,,18.2,-32.5,-55.3,-48.9,,-42.8,-62.2,-56.8,,2023-10-20,4620.0,-58.0,-64.5,-303.9,-320.4,-321.9,,-43.7,-80.4,-86.0,,446.9,630.0,639.3,,-72.7,-76.3,-76.0,,-0.1,-0.1,-0.1,,-61.8,-64.1,-63.5,,-150.5,-160.9,-163.4,,-1.6,-1.6,-1.6,,-0.3,-0.3,-0.3,,-16.8,-17.1,-17.1,,0.0,0.0,0.0,,-99.4,-229.2,-231.4,
A114840,아이패밀리에스씨,2021-10-28,6252.0,6352.0,7990.0,4551.0,10078.0,,1.6,27.8,-27.2,61.2,,25.8,-28.4,58.7,,2023-10-27,12379.0,98.0,94.9,-73.4,-88.1,75.6,,4.0,15.1,20.2,,73.2,92.1,-84.3,,-27.2,-30.0,-25.1,,1.4,5.8,28.1,,-7.5,-0.6,65.7,,-34.3,-57.8,-36.6,,-1.0,-0.7,-0.7,,1.4,2.1,50.8,,-6.1,-7.1,-6.5,,0.0,0.0,0.0,,-3.9,-19.0,-11.5,
A377450,리파인,2021-10-29,21000.0,14300.0,14400.0,7560.0,8480.0,,-31.9,-31.4,-64.0,-59.6,,0.7,-47.1,-40.7,,2023-10-27,6970.0,-66.8,-51.3,-2.3,-11.2,-50.9,,14.3,54.9,0.8,,-40.3,-68.1,29.2,,105.3,155.4,150.2,,-3.0,-6.9,-6.7,,-68.4,-106.1,-108.9,,-77.0,-98.5,-125.6,,-3.9,-3.9,-3.9,,50.0,54.1,49.3,,-5.3,-5.3,-5.3,,0.0,0.0,0.0,,28.3,24.4,20.9,
A382800,지앤비에스 에코,2021-10-29,4350.0,4800.0,4213.0,2675.0,4865.0,,10.3,-3.1,-38.5,11.8,,-12.2,-44.3,1.4,,2023-10-27,6100.0,40.2,27.1,-150.6,-156.1,-229.2,,-16.0,-21.2,-8.1,,320.3,338.5,512.3,,20.8,22.5,9.6,,0.9,0.3,0.3,,-22.7,-12.3,-40.3,,-29.2,-45.8,-73.7,,-115.3,-115.7,-116.5,,-0.7,-0.6,-0.5,,-4.5,-4.5,-8.0,,0.0,0.0,0.0,,-153.7,-161.2,-275.0,
A348370,엔켐,2021-11-01,42000.0,80000.0,82800.0,76200.0,72900.0,50000.0,90.5,97.1,81.4,73.6,19.0,3.5,-4.7,-8.9,-37.5,2023-11-01,50000.0,19.0,-37.5,-286.6,-716.8,-1019.3,-1301.1,239.7,210.6,144.5,-232.1,711.3,1185.9,3164.4,3832.2,-247.0,-446.1,-633.5,-609.2,59.7,64.6,40.3,23.6,310.3,363.3,266.9,200.8,-680.7,-900.3,-896.8,-1072.8,2.4,5.7,4.2,4.1,598.4,515.0,519.0,471.9,-329.6,-319.1,-319.4,-319.6,0.0,0.0,0.0,0.0,-664.4,-679.8,-2289.5,-2299.0
A376180,피코그램,2021-11-03,2138.0,3181.0,3267.0,8569.0,8820.0,4635.0,48.8,52.8,300.8,312.5,116.8,2.7,169.4,177.3,45.7,2023-11-03,4635.0,116.8,45.7,-166.6,-211.0,-214.9,-217.1,-0.2,-16.7,17.1,-23.2,176.2,231.6,209.0,252.0,-35.7,-63.3,-66.2,-68.6,-0.3,-0.3,-0.3,-0.3,-15.1,-28.6,-29.3,-29.2,-86.2,-89.5,-89.9,-89.7,-24.5,-24.5,-24.5,-24.5,-0.3,-0.3,-0.3,-0.3,-4.5,-4.5,-4.5,-4.5,0.0,0.0,0.0,0.0,-9.5,-3.9,-11.1,-11.8
A389030,지니너스,2021-11-08,6672.0,4470.0,3303.0,2660.0,2180.0,3340.0,-33.0,-50.5,-60.1,-67.3,-49.9,-26.1,-40.5,-51.2,-25.3,2023-11-08,3340.0,-49.9,-25.3,-121.8,-156.4,-166.3,-166.6,-42.6,-40.3,-35.9,-29.4,253.5,340.1,349.9,413.1,-12.9,-13.5,-14.2,-15.5,-3.9,-3.9,-3.9,-5.5,-40.2,-52.7,-55.2,-54.8,-58.8,-66.5,-66.6,-58.0,0.0,0.1,0.1,0.1,1.3,0.4,0.4,0.4,-7.4,-20.3,-27.0,-33.4,0.0,0.0,0.0,0.0,-89.1,-143.4,-147.7,-217.2
A357880,SKAI,2021-11-10,6443.0,6677.0,7820.0,4504.0,4616.0,3895.0,3.6,21.4,-30.1,-28.4,-39.5,17.1,-32.5,-30.9,-41.7,2023-11-10,3895.0,-39.5,-41.7,-527.8,-528.4,-545.8,-546.2,-16.1,-11.6,6.0,-25.3,856.5,858.2,870.0,901.4,-71.0,-71.9,-73.4,-73.6,-0.2,-0.2,-0.2,-0.2,-35.5,-33.3,-35.6,-35.6,-167.7,-169.6,-183.1,-183.3,-80.1,-80.1,-80.1,-80.1,-53.5,-53.5,-53.5,-53.5,-119.8,-119.8,-119.8,-119.8,0.0,0.0,0.0,0.0,-312.6,-318.3,-330.3,-330.0
A376300,디어유,2021-11-10,26000.0,66500.0,37000.0,26900.0,40700.0,36900.0,155.8,42.3,3.5,56.5,41.9,-44.4,-59.5,-38.8,-44.5,2023-11-10,36900.0,41.9,-44.5,118.4,-28.1,-249.8,228.9,-144.8,-224.1,-78.6,-297.4,431.0,683.7,857.1,631.6,38.0,27.7,-23.6,-30.6,74.1,59.9,75.7,84.6,227.5,110.5,160.7,571.4,-374.0,-407.8,-596.4,-565.9,-1.6,-1.6,7.4,6.3,175.7,206.0,143.8,180.2,-21.4,-22.7,-17.3,-17.2,0.0,0.0,0.0,0.0,-404.6,-431.6,-528.7,-563.1
A311320,지오엘리먼트,2021-11-11,5011.0,7968.0,10173.0,11501.0,9530.0,,59.0,103.0,129.5,90.2,,27.7,44.3,19.6,,2023-11-10,11850.0,136.5,48.7,-175.3,-189.1,-196.6,,-25.4,-30.0,-27.3,,205.2,225.3,231.0,,-36.4,-47.1,-47.0,,-0.1,-0.1,-0.1,,-20.3,-27.7,-25.6,,-107.4,-103.1,-112.7,,-0.1,-0.1,-0.1,,-0.2,-0.2,-0.2,,-10.7,-10.7,-11.0,,0.0,0.0,0.0,,-4.5,-6.2,-7.0,
A372800,아이티아이즈,2021-11-11,14300.0,20050.0,12550.0,8800.0,8980.0,,40.2,-12.2,-38.5,-37.2,,-37.4,-56.1,-55.2,,2023-11-10,6200.0,-56.6,-69.1,-174.5,-193.8,-193.9,,-30.3,-29.4,-35.5,,210.8,229.0,235.2,,-40.4,-41.5,-30.3,,-0.3,-0.3,-0.3,,-16.5,-39.9,-40.4,,-113.9,-108.8,-119.5,,-0.2,-0.2,-0.2,,-0.4,-0.4,-0.4,,-2.9,-2.9,-2.9,,0.0,0.0,0.0,,-6.0,-5.8,-5.8,
A290090,트윔,2021-11-17,22000.0,41100.0,17150.0,14300.0,13790.0,13190.0,86.8,-22.0,-35.0,-37.3,-40.0,-58.3,-65.2,-66.4,-67.9,2023-11-17,13190.0,-40.0,-67.9,-461.6,-441.0,-449.3,-431.4,-13.1,-13.5,-14.1,-13.6,607.6,585.9,593.5,579.7,-76.0,-41.8,-42.6,-15.9,-1.0,-1.0,-1.0,-1.0,-164.9,-170.7,-176.7,-185.5,-135.3,-143.0,-144.3,-144.3,-0.5,-0.5,-0.5,-0.5,-1.1,-1.1,-1.1,-1.1,-82.9,-82.9,-83.0,-83.0,0.0,0.0,0.0,0.0,-133.0,-131.4,-130.1,-134.7
A361570,알비더블유,2021-11-22,7141.0,12998.0,5873.0,4322.0,5673.0,3490.0,82.0,-17.8,-39.5,-20.6,-51.1,-54.8,-66.7,-56.4,-73.1,2023-11-22,3490.0,-51.1,-73.1,-288.8,-302.9,-360.8,-374.2,-46.0,-33.8,-37.9,1.6,535.6,585.4,720.7,702.3,-20.2,-20.4,-22.6,-25.6,-1.8,-1.8,-1.8,-1.8,-38.4,-32.6,-58.3,-57.7,-159.5,-179.3,-182.3,-182.6,-0.5,-0.3,-0.3,-0.3,-1.7,-1.7,-1.7,-1.7,-66.7,-66.7,-93.8,-104.5,0.0,0.0,0.0,0.0,-200.8,-248.7,-322.0,-329.7
A377480,마음AI,2021-11-23,30000.0,38000.0,20500.0,11900.0,28850.0,28800.0,26.7,-31.7,-60.3,-3.8,-4.0,-46.1,-68.7,-24.1,-24.2,2023-11-23,28800.0,-4.0,-24.2,-514.3,-524.4,-867.2,-871.4,18.4,22.3,-11.5,-30.6,663.3,653.3,1079.3,1119.7,-38.2,-37.9,-58.1,-64.7,-0.7,-0.7,1.4,-0.7,-55.8,-63.3,-139.8,-127.0,-297.1,-300.7,-377.7,-386.1,-87.8,-87.8,-104.8,-104.8,-0.0,-0.0,0.5,0.5,-34.8,-34.1,-188.6,-188.6,0.0,0.0,0.0,0.0,-167.4,-151.1,-200.6,-217.6
A298870,우리벤처파트너스,2021-12-16,5800.0,5350.0,3730.0,2845.0,2610.0,,-7.8,-35.7,-50.9,-55.0,,-30.3,-46.8,-51.2,,2023-08-25,2555.0,-55.9,-52.2,-339.4,-546.5,-527.8,,-223.3,-217.9,-214.7,,576.7,783.5,763.1,,-4.7,-37.1,4.4,,-33.2,-53.9,-54.9,,-94.8,-121.9,-125.3,,-200.8,-327.8,-346.1,,-0.8,-0.9,-0.9,,-0.5,0.1,0.1,,-4.8,-5.1,-5.1,,0.0,0.0,0.0,,-14.0,-19.0,-20.5,
A353590,오토앤,2022-01-20,5300.0,11400.0,11750.0,11200.0,10720.0,,115.1,121.7,111.3,102.3,,3.1,-1.8,-6.0,,2024-01-19,6730.0,27.0,-41.0,-254.5,-273.5,-264.5,,-67.7,-75.1,-76.3,,675.5,713.1,704.7,,-31.1,-31.5,-31.0,,-0.1,-0.1,-0.1,,-19.7,-23.1,-17.5,,-119.8,-134.9,-132.0,,-0.1,-0.1,-0.1,,-0.3,-0.3,-0.3,,-83.5,-83.5,-83.5,,0.0,0.0,0.0,,-353.3,-364.5,-363.9,
A102370,케이옥션,2022-01-24,6669.0,17340.0,8730.0,5980.0,4250.0,5250.0,160.0,30.9,-10.3,-36.3,-21.3,-49.7,-65.5,-75.5,-69.7,2024-01-24,5250.0,-21.3,-69.7,-458.4,-504.3,-461.1,-446.7,7.3,-0.4,-3.8,18.2,562.2,616.0,576.2,538.7,-100.5,-128.6,-76.3,-79.3,-0.7,-1.1,1.1,1.8,-53.8,-65.7,-69.0,-56.8,-123.2,-134.3,-136.7,-133.2,-0.2,-0.2,-0.2,-0.2,0.7,6.6,1.1,2.1,-180.7,-181.0,-181.1,-181.1,0.0,0.0,0.0,0.0,-111.1,-111.4,-111.3,-110.3
A276040,스코넥,2022-02-04,11498.0,21625.0,12117.0,16363.0,8075.0,,88.1,5.4,42.3,-29.8,,-44.0,-24.3,-62.7,,2024-02-02,8234.0,-28.4,-61.9,-327.6,-318.3,-428.0,,5.6,4.8,5.9,,358.6,336.3,523.6,,-104.4,-126.2,-133.1,,-1.0,1.4,0.7,,-45.8,-42.3,-45.0,,-162.2,-137.4,-113.1,,-0.3,-0.4,-133.5,,-0.4,0.5,10.1,,-13.6,-14.0,-14.0,,0.0,0.0,0.0,,-36.6,-22.8,-101.6,
A377330,이지트로닉스,2022-02-04,22000.0,25500.0,15000.0,12360.0,9900.0,,15.9,-31.8,-43.8,-55.0,,-41.2,-51.5,-61.2,,2024-02-02,7070.0,-67.9,-72.3,-298.1,-313.5,-313.9,,-45.5,-46.6,-43.6,,583.9,599.3,597.0,,-35.4,-31.7,-30.7,,-1.5,-1.5,-1.5,,-44.8,-55.0,-55.9,,-133.8,-142.9,-143.3,,-50.1,-50.1,-50.1,,-0.4,-0.4,-0.4,,-31.9,-31.9,-31.9,,0.0,0.0,0.0,,-240.4,-239.2,-239.4,
A136410,아셈스,2022-02-07,8000.0,13500.0,15950.0,12900.0,8210.0,6820.0,68.8,99.4,61.3,2.6,-14.7,18.1,-4.4,-39.2,-49.5,2024-02-07,6820.0,-14.7,-49.5,-148.2,-145.9,-185.7,-205.8,-22.6,-17.5,-15.2,-19.4,267.5,258.6,297.4,323.9,-2.2,-17.9,-42.1,-29.5,16.4,36.9,32.6,28.8,-5.0,24.5,23.8,10.6,-152.7,-169.4,-167.3,-176.6,-52.0,-51.8,-51.8,-51.8,51.0,35.5,23.1,16.8,-3.8,-3.7,-4.0,-4.2,0.0,0.0,0.0,0.0,-96.7,-95.2,-96.4,-98.7
A137080,나래나노텍,2022-02-08,17500.0,13900.0,9370.0,8420.0,7620.0,6170.0,-20.6,-46.5,-51.9,-56.5,-64.7,-32.6,-39.4,-45.2,-55.6,2024-02-08,6170.0,-64.7,-55.6,-182.0,-187.3,-192.0,-192.2,-90.7,-96.7,-98.5,-106.1,270.9,283.2,294.1,301.8,-40.3,-40.1,-42.1,-42.2,-7.9,-7.9,-7.9,-7.9,-59.6,-60.1,-62.1,-62.1,-58.7,-63.3,-63.8,-63.8,-3.2,-3.2,-3.2,-3.2,-7.3,-7.3,-7.3,-7.3,-5.0,-5.4,-5.6,-5.6,0.0,0.0,0.0,0.0,1.8,0.8,-3.6,-3.5
A251120,바이오에프디엔씨,2022-02-21,28000.0,22200.0,22800.0,17150.0,13300.0,12740.0,-20.7,-18.6,-38.7,-52.5,-54.5,2.7,-22.7,-40.1,-42.6,2024-02-21,12740.0,-54.5,-42.6,-123.2,-63.5,-89.8,-133.7,-4.8,-45.6,-107.1,-105.4,130.3,112.6,190.2,224.3,-28.6,2.6,-7.7,-9.2,0.0,0.0,0.0,0.0,-46.9,-28.2,8.4,-12.8,-38.8,-29.0,-81.6,-102.8,-3.5,-3.5,-3.5,-3.5,0.0,0.0,0.0,0.0,-5.4,-5.4,-5.4,-5.4,0.0,0.0,0.0,0.0,-2.3,-3.5,6.7,14.8
A370090,퓨런티어,2022-02-23,15000.0,31200.0,23700.0,20750.0,26650.0,27000.0,108.0,58.0,38.3,77.7,80.0,-24.0,-33.5,-14.6,-13.5,2024-02-23,27000.0,80.0,-13.5,-366.5,-379.5,-218.0,-327.1,-14.3,-12.5,-4.6,-45.4,490.6,504.3,330.0,481.5,-153.1,-154.5,-128.4,-146.3,-1.5,-1.5,30.8,5.1,-29.1,-34.2,30.5,-20.8,-161.2,-167.7,-177.5,-174.5,-0.9,-0.9,1.0,-1.9,-1.8,-1.8,44.7,30.4,-18.9,-18.9,-19.1,-19.1,0.0,0.0,0.0,0.0,-109.9,-112.2,-107.5,-109.0
