코드,종목명,상장일,수정공모가,상장일종가,6M종가,12M종가,18M종가,24M종가,상장일수익률_수정공모가(%),6M수익률_수정공모가(%),12M수익률_수정공모가(%),18M수익률_수정공모가(%),24M수익률_수정공모가(%),6M수익률_종가(%),12M수익률_종가(%),18M수익률_종가(%),24M수익률_종가(%),최종일,최종일종가,최종일수익률_수정공모가(%),최종일수익률_종가(%),기관_6M순매수,기관_12M순매수,기관_18M순매수,기관_24M순매수,외국인총합계_6M순매수,외국인총합계_12M순매수,외국인총합계_18M순매수,외국인총합계_24M순매수,개인_6M순매수,개인_12M순매수,개인_18M순매수,개인_24M순매수,금융투자_6M순매수,금융투자_12M순매수,금융투자_18M순매수,금융투자_24M순매수,보험_6M순매수,보험_12M순매수,보험_18M순매수,보험_24M순매수,투신_6M순매수,투신_12M순매수,투신_18M순매수,투신_24M순매수,사모펀드_6M순매수,사모펀드_12M순매수,사모펀드_18M순매수,사모펀드_24M순매수,은행_6M순매수,은행_12M순매수,은행_18M순매수,은행_24M순매수,연기금_6M순매수,연기금_12M순매수,연기금_18M순매수,연기금_24M순매수,기타금융기관_6M순매수,기타금융기관_12M순매수,기타금융기관_18M순매수,기타금융기관_24M순매수,"국가,지자체_6M순매수","국가,지자체_12M순매수","국가,지자체_18M순매수","국가,지자체_24M순매수",기타법인_6M순매수,기타법인_12M순매수,기타법인_18M순매수,기타법인_24M순매수
A338220,뷰노,2021-02-26,21000.0,32150.0,22550.0,9940.0,6780.0,,53.1,7.4,-52.7,-67.7,,-29.9,-69.1,-78.9,,2023-02-24,14770.0,-29.7,-54.1,-518.6,-665.0,-672.8,,30.9,72.8,18.6,,698.2,842.6,911.6,,-36.5,-35.3,-34.1,,-0.2,-0.2,-0.2,,-37.6,-40.8,-42.8,,-165.7,-152.7,-154.1,,-67.3,-67.3,-67.3,,-0.8,-0.8,-1.4,,-210.5,-367.9,-372.9,,0.0,0.0,0.0,,-210.5,-250.4,-257.4,
A247660,나노씨엠에스,2021-03-09,20000.0,23950.0,64600.0,46800.0,24800.0,16730.0,19.8,223.0,134.0,24.0,-16.3,169.7,95.4,3.5,-30.1,2023-03-09,16730.0,-16.3,-30.1,-276.9,-325.7,-327.4,-327.4,-1.5,-34.7,-33.4,-36.4,376.0,435.3,443.0,445.7,-29.2,-77.7,-78.1,-78.0,-0.3,-0.3,-0.3,-0.3,-59.5,-60.2,-61.5,-61.6,-116.9,-116.4,-116.5,-116.5,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-70.6,-70.6,-70.6,-70.6,0.0,0.0,0.0,0.0,-97.6,-74.9,-82.1,-81.9
A334970,프레스티지바이오로직스,2021-03-11,12400.0,14300.0,15000.0,7250.0,4925.0,,15.3,21.0,-41.5,-60.3,,4.9,-49.3,-65.6,,2023-03-10,3535.0,-71.5,-75.3,-800.1,-1019.5,-1069.2,,-151.9,-142.3,-137.1,,1245.3,1464.4,1561.6,,-140.2,-157.6,-158.4,,-7.7,-8.4,-8.4,,-246.4,-319.6,-327.4,,-332.2,-441.0,-470.2,,-25.7,-25.7,-25.7,,32.8,13.5,13.5,,-80.7,-80.7,-92.6,,0.0,0.0,0.0,,-293.3,-302.6,-355.2,
A356890,싸이버원,2021-03-11,3800.0,8480.0,5280.0,4940.0,4140.0,,123.2,38.9,30.0,8.9,,-37.7,-41.7,-51.2,,2023-03-10,4760.0,25.3,-43.9,-183.0,-188.8,-190.2,,-6.3,-8.4,-9.6,,237.9,245.7,249.7,,-37.4,-38.3,-38.3,,-0.4,-0.4,-0.4,,-10.7,-11.8,-11.9,,-125.8,-129.6,-131.0,,-0.2,-0.2,-0.2,,-0.4,-0.4,-0.4,,-7.9,-7.9,-7.9,,0.0,0.0,0.0,,-48.6,-48.5,-49.9,
A950220,네오이뮨텍,2021-03-16,32237.0,61680.0,41220.0,32237.0,18053.0,14206.0,91.3,27.9,0.0,-44.0,-55.9,-33.2,-47.7,-70.7,-77.0,2023-03-16,14206.0,-55.9,-77.0,-892.0,-2091.8,-2165.4,-2324.0,-291.5,-191.4,-375.3,-325.5,2260.9,3627.3,3907.3,3995.4,-201.2,-205.2,-261.5,-372.2,17.5,7.3,3.4,3.4,-57.3,-285.9,-326.2,-327.3,-456.7,-1447.0,-1380.5,-1420.7,-5.9,-1.3,-1.3,-1.3,88.0,123.5,83.8,77.9,-276.4,-283.3,-283.1,-283.8,0.0,0.0,0.0,0.0,-1077.4,-1344.1,-1366.5,-1345.8
A314930,바이오다인,2021-03-17,6235.0,8854.0,8365.0,6110.0,5653.0,6058.0,42.0,34.2,-2.0,-9.3,-2.8,-5.5,-31.0,-36.2,-31.6,2023-03-17,6058.0,-2.8,-31.6,-474.4,-550.4,-555.4,-557.3,-0.4,-21.4,-24.2,-22.2,685.4,775.8,779.0,779.9,-180.6,-242.7,-243.6,-243.3,-2.9,-2.9,-2.9,-2.9,-60.1,-64.8,-64.7,-65.2,-217.7,-226.9,-231.0,-232.8,-1.4,-1.4,-1.4,-1.4,-3.1,-3.1,-3.1,-3.1,-8.6,-8.6,-8.6,-8.6,0.0,0.0,0.0,0.0,-210.6,-204.0,-199.5,-200.4
A347700,스피어,2021-03-23,11179.0,15651.0,10687.0,7575.0,4364.0,5053.0,40.0,-4.4,-32.2,-61.0,-54.8,-31.7,-51.6,-72.1,-67.7,2023-03-23,5053.0,-54.8,-67.7,-332.0,-337.6,-338.0,-338.9,-9.5,-11.8,-16.0,-10.4,613.2,621.0,626.1,626.9,-90.1,-92.2,-91.8,-91.9,-0.1,-0.1,-0.1,-0.1,-16.6,-19.4,-19.2,-19.9,-181.5,-182.3,-183.3,-183.4,-0.1,-0.1,-0.1,-0.1,0.4,0.4,0.4,0.4,-43.9,-43.9,-43.9,-43.9,0.0,0.0,0.0,0.0,-271.7,-271.6,-272.1,-277.6
A289220,자이언트스텝,2021-03-24,5354.0,13921.0,35338.0,50400.0,18800.0,20400.0,160.0,560.0,841.4,251.1,281.0,153.8,262.0,35.0,46.5,2023-03-24,20400.0,281.0,46.5,-742.1,-1106.5,-1231.3,-1261.7,-68.9,250.2,180.0,148.1,977.9,1039.2,1219.1,1454.0,-258.2,-31.7,-52.1,-66.8,-2.7,-3.1,-4.3,-3.7,-36.0,-420.9,-474.5,-489.3,-165.4,-318.6,-352.4,-350.7,0.6,2.2,-0.7,-0.7,0.5,-52.4,-85.7,-89.6,-280.9,-282.0,-261.6,-261.0,0.0,0.0,0.0,0.0,-166.8,-182.9,-167.8,-340.5
A361390,제노코,2021-03-24,12009.0,26719.0,21282.0,27200.0,20000.0,23400.0,122.5,77.2,126.5,66.5,94.9,-20.3,1.8,-25.1,-12.4,2023-03-24,23400.0,94.9,-12.4,-138.1,-155.7,-139.8,-135.6,-21.2,-37.6,-80.1,-78.8,529.7,559.9,596.4,591.6,-33.6,-37.2,-30.0,-28.7,-0.4,-0.4,4.1,2.0,-12.1,-12.2,-8.1,-11.8,-83.8,-97.7,-104.2,-96.6,-0.7,-0.7,2.5,3.8,-0.4,-0.4,3.0,2.6,-7.2,-7.2,-7.2,-6.8,0.0,0.0,0.0,0.0,-370.5,-366.6,-376.6,-377.2
A333620,엔시스,2021-04-01,19000.0,31400.0,22200.0,19300.0,12250.0,,65.3,16.8,1.6,-35.5,,-29.3,-38.5,-61.0,,2023-03-31,13900.0,-26.8,-55.7,-688.5,-708.3,-722.5,,-104.5,-96.5,-98.4,,812.1,823.5,834.7,,-83.3,-86.4,-71.9,,-1.4,-1.4,-1.4,,-100.8,-98.6,-108.7,,-224.3,-242.4,-260.9,,-0.1,-0.3,-0.3,,-0.9,-1.7,-1.7,,-277.6,-277.6,-277.6,,0.0,0.0,0.0,,-19.1,-18.7,-13.8,
