Category,Designation Date,Issue Name,Code,Market Segment,Remarks,Reason
Securities Under Supervision (Confirmation),"Jan. 14, 2026",TOYOTA INDUSTRIES CORPORATION,6201,Prime,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Jan. 06, 2026","HISAMITSU PHARMACEUTICAL CO.,INC.",4530,Prime,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Dec. 25, 2025",Nousouken Corporation,3541,Growth,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Dec. 19, 2025","SAWAFUJI ELECTRIC CO.,LTD.",6901,Standard,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Dec. 17, 2025","HOGY MEDICAL CO.,LTD.",3593,Prime,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities Under Supervision (Confirmation),"Dec. 15, 2025","Medical Data Vision Co.,Ltd.",3902,Prime,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Dec. 15, 2025","Matsuya R&D Co.,Ltd",7317,Growth,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities Under Supervision (Confirmation),"Dec. 11, 2025",RAKSUL INC.,4384,Prime,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities Under Supervision (Confirmation),"Nov. 13, 2025",MARUWN CORPORATION,9067,Standard,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Nov. 10, 2025",Forum Engineering Inc.,7088,Prime,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Sep. 30, 2025","Mitsubishi Logisnext Co.,Ltd.",7105,Standard,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Sep. 10, 2025",MANDOM CORPORATION,4917,Prime,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Aug. 29, 2025","YUTAKA GIKEN CO.,LTD.",7229,Standard,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Jul. 25, 2025","PACIFIC INDUSTRIAL CO.,LTD.",7250,Prime,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Jun. 03, 2025","Makino Milling Machine Co.,Ltd.",6135,Prime,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities to Be Delisted,"Mar. 19, 2026",CANON ELECTRONICS INC.,7739,Prime,,Due to falling under a case where the company implements a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities to Be Delisted,"Mar. 19, 2026",Fast Fitness Japan Incorporated,7092,Prime,,Due to falling under a case where the company implements a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities to Be Delisted,"Mar. 12, 2026","SUNDAY CO.,LTD.",7450,Standard,,"Due to falling under acquisition by a demand for share, etc. cash-out"
Securities to Be Delisted,"Mar. 11, 2026",KROSAKI HARIMA CORPORATION,5352,Prime,,"Due to falling under acquisition by a demand for share, etc. cash-out"
Securities to Be Delisted,"Mar. 06, 2026","SANYU CONSTRUCTION CO.,LTD.",1841,Standard,,Due to falling under a case where the company implements a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities to Be Delisted,"Mar. 06, 2026",PARIS MIKI HOLDINGS Inc.,7455,Standard,,Due to falling under a case where the company implements a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities to Be Delisted,"Mar. 03, 2026","SUGITA ACE CO.,LTD.",7635,Standard,,Due to falling under a case where the company implements a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities to Be Delisted,"Feb. 27, 2026",TOIN CORPORATION,7923,Standard,,"Due to falling under acquisition by a demand for share, etc. cash-out"
Securities to Be Delisted,"Feb. 25, 2026","DAIWA TSUSHIN Co.,Ltd",7116,Standard,,Due to falling under a case where the company implements a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
