Code,Company Name,Market Segment,Number of Shareholders,Number of Tradable Shares,Tradable Share Ratio,,Tradable Share Market Capitalization,,Trading Value,Trading Volume,Market Capitalization,,Amount of Net Assets,Remarks,
6565,"ABHOTEL CO.,LTD.",Standard,,,2026-03-31,,,,,,,,,"See disclosure dated Mar. 11, 2026.",
6615,"UMC Electronics Co.,Ltd.",Prime,,,,,2026-03-31,,,,,,,,
6619,W-SCOPE Corporation,Prime,,,,,2027-01-31,,,,,,,,
6699,"DIAMOND ELECTRIC HOLDINGS Co.,Ltd.",Prime,,,,,2026-03-31,,2026-12-31,,,,,,
6977,"JAPAN RESISTOR MFG. CO.,LTD.",Standard,,,,,2026-12-31,,,,,,,,
6740,Japan Display Inc.,Prime,,,2028-03-31,,,,,,,,,"Enforcement Rules for Securities Listing Regulations, the proviso of Rule 501, Paragraph 7, Item (2)",
7034,"Prored Partners CO.,LTD.",Prime,,,,,2026-10-31,*,,,,,,"Note 5（October 31,2030）",
7038,Frontier Management Inc.,Prime,,,,,2026-12-31,,,,,,,,
7042,"ACCESS GROUP HOLDINGS CO.,LTD.",Standard,,,,,2026-03-31,,,,,,,,
7071,"Amvis Holdings,Inc.",Prime,,,2026-09-30,,,,,,,,,,
7229,"YUTAKA GIKEN CO.,LTD.",Standard,,,2026-03-31,,,,,,,,,"See disclosure dated Aug. 29, 2025.",
7238,"AKEBONO BRAKE INDUSTRY CO.,LTD.",Prime,,,2030-03-31,,,,,,,,,"Enforcement Rules for Securities Listing Regulations, the proviso of Rule 501, Paragraph 7, Item (2)",
7255,SAKURAI LTD.,Standard,,,,,2026-03-31,,,,,,,,
7347,"Mercuria Holdings Co.,Ltd.",Prime,,,,,2026-12-31,,,,,,,,
7362,Terminalcare Support Institute Inc.,Growth,,,,,2026-12-31,,,,,,,,
7426,Yamadai Corporation,Standard,,,,,2026-03-31,,,,,,,,
7531,SEIWA CHUO HOLDINGS CORPORATION,Standard,,,2026-12-31,,,,,,,,,,
7602,"Ledax Co.,Ltd.",Standard,,,,,2026-03-31,,,,,,,,
7640,"TOP CULTURE Co.,Ltd.",Standard,,,,,2026-10-31,,,,,,,,
7709,KUBOTEK CORPORATION,Standard,,,,,2026-03-31,,,,,,,,
7743,"SEED CO.,LTD.",Prime,,,,,2026-03-31,,,,,,,,
7815,"TOKYO BOARD INDUSTRIES CO.,LTD.",Standard,,,2027-02-28,,2027-02-28,,,,,,,,
7851,"KAWASE COMPUTER SUPPLIES CO.,LTD.",Standard,,,,,2026-03-31,,,,,,,,
7886,"YAMATO Mobility & Mfg. Co.,Ltd.",Standard,,,,,2026-03-31,*,,,,,,"Note 5（March 31,2027）",
7901,MATSUMOTO INC.,Standard,,,,,2026-04-30,,,,,,,,
7946,KOYOSHA INC.,Standard,2026-03-31,,,,2026-03-31,,,,,,,,
7957,"FUJICOPIAN CO.,LTD.",Standard,,,,,2026-12-31,,,,,,,,
7985,NEPON Inc.,Standard,,,,,2026-03-31,,,,,,,,
7986,"NIHON ISK Company,Limited",Standard,,,,,2026-12-31,,,,,,,,
8077,TORQ Inc.,Standard,,,2026-10-31,,,,,,,,,,
8105,Bitcoin Japan Corporation,Standard,,,,,2026-03-31,,,,,,,,
8209,FRIENDLY CORPORATION,Standard,,,,,2026-03-31,,,,,,2026-03-31,,
8254,"Saikaya Department Store Co.,Ltd.",Standard,,,,,2026-08-31,,,,,,,,
8798,"Advance Create Co.,Ltd.",Prime,,,2026-09-30,,2026-09-30,,,,,,,,
9073,"Kyogoku unyu shoji Co.,Ltd.",Standard,,,2026-03-31,,2026-03-31,,,,,,,,
9213,SEYFERT LTD.,Standard,,,,,2026-12-31,,,,,,,,
9216,"Bewith,Inc.",Prime,,,,,2026-05-31,,,,,,,,
9229,"SUNWELS Co.,Ltd.",Prime,,,,,2026-03-31,,,,,,,,
9244,DIGITALIFT Inc.,Growth,,,,,2026-09-30,,,,,,,,
9245,Livero Inc.,Growth,,,2026-12-31,,,,,,,,,,
9250,GRCS Inc.,Growth,,,,,,,,,,,2026-11-30,,
9409,TV Asahi Holdings Corporation,Prime,,,2026-03-31,,,,,,,,,,
9914,"Uematsu Shokai Co.,Ltd.",Standard,,,,,2026-03-20,,,,,,,,
